	Mon Dec 11 09:27 2017 Time and Allocation Profiling Report  (Final)

	   profilingTest +RTS -hc -p -N3 -RTS

	total time  =       10.82 secs   (32471 ticks @ 1000 us, 3 processors)
	total alloc = 76,826,704,944 bytes  (excludes profiling overheads)

COST CENTRE                  MODULE    SRC                             %time %alloc

derivateNeuronWeightsandBias NeuralNet NeuralNet.hs:(161,1)-(162,144)   27.7   25.9
calculateZ                   NeuralNet NeuralNet.hs:(210,1)-(211,87)    24.6   14.7
separateFronts               NeuralNet NeuralNet.hs:218:1-40            17.8   31.2
averageHelper                NeuralNet NeuralNet.hs:(265,1)-(266,73)    16.0   16.1
derivateNeuronActivation     NeuralNet NeuralNet.hs:(156,1)-(157,141)    5.5    3.7
main                         Main      profilingTest.hs:(2,1)-(6,88)     2.4    3.6
readPrec                     NeuralNet NeuralNet.hs:8:87-90              2.4    1.9
showsPrec                    NeuralNet NeuralNet.hs:17:56-59             0.9    1.4


                                                                                                                 individual      inherited
COST CENTRE                            MODULE                  SRC                            no.     entries  %time %alloc   %time %alloc

          activateLay                  NeuralNet               NeuralNet.hs:(180,1)-(181,95)  392       1960    0.0    0.0    23.9   14.4
           activateLay.l               NeuralNet               NeuralNet.hs:181:50-95         393       1960    0.1    0.0    23.9   14.4
            activateNuesRegular        NeuralNet               NeuralNet.hs:(185,1)-(186,110) 394     252840    0.0    0.0    23.8   14.4
             activateNue               NeuralNet               NeuralNet.hs:(190,1)-(202,93)  395     250880    0.2    0.0    23.8   14.3
              activateNue.z            NeuralNet               NeuralNet.hs:199:60-99         396     250880    0.1    0.0    23.6   14.3
               calculateZ              NeuralNet               NeuralNet.hs:(210,1)-(211,87)  397  114401280   23.5   14.3    23.5   14.3
         activateLay                   NeuralNet               NeuralNet.hs:(180,1)-(181,95)  398        980    0.0    0.0     0.3    0.2
          activateLay.l                NeuralNet               NeuralNet.hs:181:50-95         399        980    0.0    0.0     0.3    0.2
           activateNuesRegular         NeuralNet               NeuralNet.hs:(185,1)-(186,110) 400       9800    0.0    0.0     0.3    0.2
            activateNue                NeuralNet               NeuralNet.hs:(190,1)-(202,93)  401       9800    0.0    0.0     0.3    0.2
             activateNue.sigVal        NeuralNet               NeuralNet.hs:193:49-74         402       9800    0.0    0.0     0.0    0.0
             activateNue.z             NeuralNet               NeuralNet.hs:192:49-88         403       9800    0.0    0.0     0.2    0.2
              calculateZ               NeuralNet               NeuralNet.hs:(210,1)-(211,87)  404    1254400    0.2    0.2     0.2    0.2
      trainEpochHelper.activeNet       NeuralNet               NeuralNet.hs:107:57-89         310         20    0.0    0.0     0.8    0.3
       activateNet                     NeuralNet               NeuralNet.hs:170:1-42          311         20    0.0    0.0     0.8    0.3
        activateNetHelper              NeuralNet               NeuralNet.hs:(173,1)-(175,80)  312         60    0.0    0.0     0.8    0.3
         activateNetHelper.z           NeuralNet               NeuralNet.hs:175:53-80         344         40    0.0    0.0     0.8    0.3
          activateLay                  NeuralNet               NeuralNet.hs:(180,1)-(181,95)  345         40    0.0    0.0     0.8    0.3
           activateLay.l               NeuralNet               NeuralNet.hs:181:50-95         346         40    0.0    0.0     0.8    0.3
            activateNuesRegular        NeuralNet               NeuralNet.hs:(185,1)-(186,110) 347       5160    0.0    0.0     0.8    0.3
             activateNue               NeuralNet               NeuralNet.hs:(190,1)-(202,93)  348       5120    0.0    0.0     0.8    0.3
              activateNue.z            NeuralNet               NeuralNet.hs:199:60-99         349       5120    0.0    0.0     0.8    0.3
               calculateZ              NeuralNet               NeuralNet.hs:(210,1)-(211,87)  350    2334720    0.8    0.3     0.8    0.3
         activateLay                   NeuralNet               NeuralNet.hs:(180,1)-(181,95)  377         20    0.0    0.0     0.0    0.0
          activateLay.l                NeuralNet               NeuralNet.hs:181:50-95         378         20    0.0    0.0     0.0    0.0
           activateNuesRegular         NeuralNet               NeuralNet.hs:(185,1)-(186,110) 379        220    0.0    0.0     0.0    0.0
            activateNue                NeuralNet               NeuralNet.hs:(190,1)-(202,93)  380        200    0.0    0.0     0.0    0.0
