	Mon Dec 11 14:25 2017 Time and Allocation Profiling Report  (Final)

	   profilingTest +RTS -hc -p -ls -N4 -RTS

	total time  =       37.61 secs   (150435 ticks @ 1000 us, 4 processors)
	total alloc = 362,913,097,464 bytes  (excludes profiling overheads)

COST CENTRE                  MODULE    SRC                             %time %alloc

calculateZ                   NeuralNet NeuralNet.hs:(213,1)-(214,87)    27.6   15.6
derivateNeuronWeightsandBias NeuralNet NeuralNet.hs:(164,1)-(165,144)   25.5   27.4
separateFronts               NeuralNet NeuralNet.hs:221:1-40            18.9   33.0
averageHelper                NeuralNet NeuralNet.hs:(269,1)-(270,73)    18.0   17.0
derivateNeuronActivation     NeuralNet NeuralNet.hs:(159,1)-(160,141)    6.0    3.9


                                                                                                                 individual      inherited
COST CENTRE                            MODULE                  SRC                            no.     entries  %time %alloc   %time %alloc

      trainEpochHelper.activeNet       NeuralNet               NeuralNet.hs:110:57-89         312        100    0.0    0.0     0.9    0.3
       activateNet                     NeuralNet               NeuralNet.hs:173:1-42          313        100    0.0    0.0     0.9    0.3
        activateNetHelper              NeuralNet               NeuralNet.hs:(176,1)-(178,80)  314        300    0.0    0.0     0.9    0.3
         activateNetHelper.z           NeuralNet               NeuralNet.hs:178:53-80         346        200    0.0    0.0     0.9    0.3
          activateLay                  NeuralNet               NeuralNet.hs:(183,1)-(184,95)  347        200    0.0    0.0     0.9    0.3
           activateLay.l               NeuralNet               NeuralNet.hs:184:50-95         348        200    0.0    0.0     0.9    0.3
            activateNuesRegular        NeuralNet               NeuralNet.hs:(188,1)-(189,110) 349      25800    0.0    0.0     0.9    0.3
             activateNue               NeuralNet               NeuralNet.hs:(193,1)-(205,93)  350      25600    0.0    0.0     0.9    0.3
              activateNue.z            NeuralNet               NeuralNet.hs:202:60-99         351      25600    0.0    0.0     0.9    0.3
               calculateZ              NeuralNet               NeuralNet.hs:(213,1)-(214,87)  352   11673600    0.9    0.3     0.9    0.3
         activateLay                   NeuralNet               NeuralNet.hs:(183,1)-(184,95)  379        100    0.0    0.0     0.0    0.0
          activateLay.l                NeuralNet               NeuralNet.hs:184:50-95         380        100    0.0    0.0     0.0    0.0
