	Tue Dec  5 18:42 2017 Time and Allocation Profiling Report  (Final)

	   profilingTest +RTS -hc -p -RTS

	total time  =      833.48 secs   (833479 ticks @ 1000 us, 1 processor)
	total alloc = 1,818,976,847,608 bytes  (excludes profiling overheads)

COST CENTRE                  MODULE    SRC                             %time %alloc

calculateZ                   NeuralNet NeuralNet.hs:(210,1)-(211,87)    28.6   15.5
derivateNeuronWeightsandBias NeuralNet NeuralNet.hs:(161,1)-(162,144)   22.7   27.3
averageHelper                NeuralNet NeuralNet.hs:(262,1)-(263,73)    19.3   17.0
separateFronts               NeuralNet NeuralNet.hs:215:1-40            18.9   32.9
derivateNeuronActivation     NeuralNet NeuralNet.hs:(156,1)-(157,141)    6.8    3.9
updateAttribute              NeuralNet NeuralNet.hs:102:1-81             1.2    0.4


                                                                                                                 individual      inherited
COST CENTRE                            MODULE                  SRC                            no.     entries  %time %alloc   %time %alloc

      trainEpochHelper.activeNet       NeuralNet               NeuralNet.hs:107:57-89         310       1000    0.0    0.0     1.3    0.6
       activateNet                     NeuralNet               NeuralNet.hs:170:1-42          311       1000    0.0    0.0     1.3    0.6
        activateNetHelper              NeuralNet               NeuralNet.hs:(173,1)-(175,80)  312       3000    0.0    0.0     1.3    0.6
         activateNetHelper.z           NeuralNet               NeuralNet.hs:175:53-80         344       2000    0.0    0.0     1.2    0.6
          activateLay                  NeuralNet               NeuralNet.hs:(180,1)-(181,95)  345       2000    0.0    0.0     1.2    0.6
           activateLay.l               NeuralNet               NeuralNet.hs:181:50-95         346       2000    0.0    0.0     1.2    0.6
            activateNuesRegular        NeuralNet               NeuralNet.hs:(185,1)-(186,110) 347     258000    0.0    0.0     1.2    0.6
             activateNue               NeuralNet               NeuralNet.hs:(190,1)-(202,93)  348     256000    0.0    0.0     1.2    0.6
              activateNue.z            NeuralNet               NeuralNet.hs:199:60-99         349     256000    0.0    0.0     1.2    0.6
               calculateZ              NeuralNet               NeuralNet.hs:(210,1)-(211,87)  350  116736000    1.2    0.6     1.2    0.6
         activateLay                   NeuralNet               NeuralNet.hs:(180,1)-(181,95)  377       1000    0.0    0.0     0.0    0.0
          activateLay.l                NeuralNet               NeuralNet.hs:181:50-95         378       1000    0.0    0.0     0.0    0.0
           activateNuesRegular         NeuralNet               NeuralNet.hs:(185,1)-(186,110) 379      11000    0.0    0.0     0.0    0.0
            activateNue                NeuralNet               NeuralNet.hs:(190,1)-(202,93)  380      10000    0.0    0.0     0.0    0.0
             activateNue.sigVal        NeuralNet               NeuralNet.hs:193:49-74         384      10000    0.0    0.0     0.0    0.0
             activateNue.z             NeuralNet               NeuralNet.hs:192:49-88         385      10000    0.0    0.0     0.0    0.0
              calculateZ               NeuralNet               NeuralNet.hs:(210,1)-(211,87)  386    1280000    0.0    0.0     0.0    0.0
